geneid,log2FoldChange,pvalue,padj
Os03g0273200,5.658870051,1.70E-89,4.35E-85
Os05g0563600,4.156335064,6.10E-53,7.82E-49
Os01g0695700,3.497548911,9.47E-44,6.06E-40
Os01g0110200,4.725055682,7.50E-35,3.20E-31
Os10g0555900,3.851240918,1.73E-32,6.35E-29
Os04g0413500,3.161886791,2.06E-31,5.87E-28
Os05g0163300,5.789183826,1.33E-30,3.42E-27
Os09g0316000,4.278850556,1.72E-29,4.00E-26
Os03g0111200,3.427815128,1.67E-27,3.06E-24
Os01g0805900,2.86816746,2.10E-27,3.36E-24
Os04g0408600,4.155008135,3.09E-27,4.66E-24
Os11g0592600,5.685922329,3.59E-27,4.84E-24
Os04g0465600,2.679815819,3.57E-27,4.84E-24
Os09g0572500,1.915616289,9.44E-27,1.21E-23
Os03g0246500,2.131944942,1.19E-26,1.45E-23
Os01g0941200,3.642010775,2.65E-25,2.71E-22
Os05g0390300,2.447964106,3.52E-25,3.34E-22
Os02g0571100,2.117659122,5.63E-24,4.81E-21
Os10g0554900,4.129464684,7.93E-24,6.56E-21
