geneid,log2FoldChange,pvalue,padj
Os03g0250400,7.322574219,7.90E-09,3.48E-07
Os12g0561900,7.194952424,4.63E-08,1.68E-06
Os02g0583700,6.867925497,0.078965068,0.231263223
Os05g0458500,6.752528434,8.88E-07,2.18E-05
Os02g0318450,6.732308675,9.56E-07,2.33E-05
Os12g0132500,6.702714556,1.04E-06,2.51E-05
Os08g0136800,6.555959666,NA,NA
Os01g0159200,6.352472397,1.71E-12,1.71E-10
Os05g0189900,6.171678441,2.30E-05,0.000363458
Os05g0135500,6.024999644,3.44E-05,0.000512352
Os02g0171500,6.022678395,5.40E-07,1.44E-05
Os01g0358100,6.01276109,5.70E-05,0.000790052
Os01g0605500,5.950873736,0.000144251,0.001703475
Os08g0101100,5.93654394,0.000113792,0.00138781
Os03g0250301,5.927492023,5.93E-19,2.27E-16
Os05g0435800,5.920105411,7.33E-05,0.00096319
Os11g0155975,5.883784434,6.90E-05,0.000919959
Os04g0656500,5.866313751,0.000116084,0.001412351
Os06g0727000,5.864557406,9.53E-05,0.001193465
Os02g0571300,5.860982432,9.24E-05,0.001164578
Os05g0386700,5.845680731,0.000104292,0.00129033
Os05g0400100,5.843510293,2.53E-05,0.000393235
Os05g0400500,5.835872566,0.000154522,0.001802973
Os04g0526300,5.835658298,0.000123887,0.001491714
Os01g0219600,5.829545584,5.56E-05,0.000773763
Os03g0134900,5.824204754,0.000135759,0.001617927
Os05g0163300,5.789183826,1.33E-30,3.42E-27
Os04g0629400,5.761078452,0.000146428,0.001722623
Os06g0671600,5.707954336,0.000281966,0.002982996
Os02g0549401,5.701356629,0.000176578,0.002018043
Os11g0592600,5.685922329,3.59E-27,4.84E-24
Os03g0341600,5.670557536,0.000379604,0.00381286
Os03g0273200,5.658870051,1.70E-89,4.35E-85
Os01g0892300,5.642880872,0.00046116,0.004460661
Os05g0190300,5.637928256,0.000309646,0.003216077
Os04g0376700,5.558490205,1.48E-06,3.39E-05
Os04g0212450,5.546857156,0.000382065,0.003832243
Os09g0468000,5.515545515,0.000405399,0.004016837
Os04g0483450,5.48509144,0.000623624,0.00571704
Os07g0142100,5.414260501,0.001169488,0.009474616
Os04g0138800,5.398042456,0.000612702,0.005653317
Os04g0433300,5.397677786,0.000880168,0.007570965
Os02g0768300,5.385666373,4.18E-06,8.40E-05
Os03g0283200,5.363823952,0.001028095,0.008583539
Os12g0560700,5.342217886,2.22E-08,8.63E-07
Os04g0110100,5.323629371,0.000982862,0.008267851
Os05g0454200,5.322040873,0.001477231,0.011411239
Os02g0208500,5.316416307,0.001205304,0.009699595
Os03g0622100,5.311811929,0.000951958,0.008052827
Os01g0274100,5.276406948,0.001107688,0.009099808
Os01g0220500,5.269451032,0.002666465,0.018317114
Os03g0108300,5.26547989,0.00036747,0.003717205
Os11g0270201,5.264169489,0.001428012,0.011114685
Os04g0171800,5.232679055,0.001510148,0.011602557
Os04g0529700,5.22820154,0.001588784,0.012090708
Os04g0325300,5.184621542,0.001618766,0.012278758
Os09g0371625,5.17328179,0.002171947,0.015610603
Os01g0273100,5.170140982,0.001753841,0.013125812
Os03g0174200,5.162483809,0.002738276,0.018714377
Os04g0581000,5.144778063,0.003600439,0.02341473
Os05g0456300,5.138652246,0.00220453,0.015787222
Os07g0241600,5.126925788,0.002270764,0.016144225
Os02g0455800,5.100173492,0.192795323,0.410385702
Os10g0159700,5.100108817,0.189106646,0.405785076
Os11g0701000,5.097145275,0.177186304,0.38943598
Os04g0177300,5.089174018,0.004934643,0.030112016
Os08g0509200,5.085493846,0.002459405,0.017170934
Os11g0643100,5.083017486,0.002431443,0.017012799
