Geneid,log2FoldChange,pvalue,padj
Os07g0474300,3.668698995,0.009499772,0.049961547
Os12g0162400,-0.571908234,0.009497902,0.049961547
Os09g0309500,-0.510988659,0.009494144,0.049952456
Os02g0321600,1.231638895,0.009479265,0.049884414
Os08g0175300,-0.483989288,0.00946146,0.04980094
Os03g0772800,0.41185417,0.009458315,0.049794616
Os05g0428600,-1.375822862,0.009453776,0.04978095
Os11g0635500,4.732644659,0.00945247,0.04978095
Os01g0332200,-1.580125817,0.009439528,0.049756049
Os03g0798101,4.658562756,0.009442354,0.049756049
Os06g0487620,-0.993757665,0.009445163,0.049756049
Os09g0515500,0.457278372,0.009443745,0.049756049
Os01g0348800,-2.994504324,0.00941349,0.049630009
Os02g0598200,1.045365935,0.009369379,0.049407615
Os11g0150700,4.743298453,0.009350081,0.049315999
Os11g0159000,-0.454311411,0.009348846,0.049315999
Os02g0187800,0.371509457,0.009344203,0.049305293
Os02g0732200,1.070419177,0.00934387,0.049305293
Os02g0580700,-0.56247855,0.009329759,0.049249367
Os04g0618600,0.49197515,0.009326527,0.049242449
Os08g0557400,0.591824054,0.009323823,0.049238319
Os01g0896300,1.405979916,0.009310206,0.049176544
Os05g0566900,-0.367034043,0.009292809,0.049094771
Os11g0661101,-0.544944618,0.009270521,0.048987123
Os03g0584050,-0.58777642,0.00926252,0.048954941
Os08g0139100,0.46728294,0.009259271,0.048947863
Os09g0442700,1.518398633,0.009252548,0.048922416
Os03g0369800,-0.405917162,0.00924517,0.048893495
Os12g0628500,-0.3487322,0.009236739,0.048858994
Os05g0392700,-0.490405838,0.009233591,0.048852426
Os06g0563900,-0.410105733,0.009225589,0.048820172
Os07g0164500,0.555863523,0.009190174,0.048642807
Os05g0151700,1.155472819,0.009170813,0.048550361
Os03g0211400,0.447730133,0.009168878,0.048550146
Os03g0605300,0.529770481,0.009165974,0.048544803
Os11g0104400,0.657250949,0.009144103,0.048438983
Os12g0626200,4.867002761,0.009143921,0.048438983
Os06g0208300,-0.351057513,0.009121496,0.048343969
Os12g0502400,0.820892549,0.009122394,0.048343969
Os08g0486233,1.735666777,0.009115234,0.04832602
Os02g0222500,0.628844164,0.009093737,0.048222024
Os01g0507000,-0.809163503,0.009084763,0.048184409
Os06g0332800,0.695370945,0.009064406,0.048086393
Os02g0522800,0.539279866,0.009060916,0.048077833
Os12g0438300,1.007022179,0.00905979,0.048077833
Os12g0278401,0.822846338,0.009057146,0.048077741
Os02g0469300,-0.4540285,0.009038277,0.047987518
Os11g0143300,0.834356023,0.00902608,0.047932694
Os08g0109800,0.620408609,0.009009947,0.04785694
Os04g0461400,-0.791478013,0.008994466,0.047784617
Os01g0819233,0.866170908,0.008988464,0.047762631
Os08g0547100,-0.492182377,0.008983592,0.047746646
Os01g0908700,-0.365902686,0.008981291,0.047744321
Os09g0572800,-2.572582906,0.008977874,0.047736059
Os08g0447300,-0.409465901,0.008970639,0.047707489
Os04g0667900,0.72919349,0.008966681,0.047696338
Os04g0406600,0.52922239,0.008962652,0.047684806
Os05g0489200,-0.595542618,0.008942946,0.047589848
Os10g0324600,0.512257447,0.008935036,0.047557631
Os09g0315200,-0.71625702,0.008912325,0.047446604
Os03g0306400,2.973662985,0.008908165,0.047434312
Os01g0321700,0.494615729,0.008903967,0.047429256
Os11g0517400,0.509013125,0.008905364,0.047429256
Os08g0519300,3.741666023,0.008904768,0.047429256
Os12g0571000,-1.674135756,0.008894356,0.047400184
Os10g0497000,-0.406072656,0.008883585,0.047352632
Os04g0587100,3.804439489,0.008879032,0.047340433
Os07g0672300,1.31040036,0.008875805,0.047340433
Os10g0122600,0.752133066,0.008879299,0.047340433
Os10g0507600,0.579762194,0.008879449,0.047340433
Os01g0674700,0.426761559,0.008849777,0.047221541
Os04g0629000,0.409933395,0.008833946,0.047146885
Os02g0784100,2.783513075,0.008827632,0.047123005
Os02g0191000,-1.337881867,0.008825188,0.047119772
Os06g0670000,-0.486071396,0.008819686,0.047100209
Os06g0132400,1.074198991,0.008808666,0.047051166
Os10g0575900,1.846783905,0.00880144,0.047022374
Os03g0386500,-0.547475599,0.008799111,0.047019731
Os03g0281300,-1.415247929,0.008793557,0.046999855
Os04g0568900,-0.382924173,0.008792065,0.046999855
Os06g0696566,-0.60541517,0.008784079,0.046968794
Os05g0593300,-0.391815443,0.008770805,0.046907603
Os03g0610650,-0.394973599,0.008763748,0.04687965
Os12g0108600,1.547965984,0.008740242,0.046763673
Os10g0517400,1.088356508,0.008731043,0.046724208
Os01g0338150,-0.677283248,0.008721276,0.046681693
Os01g0705100,-1.495172499,0.008709304,0.046627351
Os01g0218800,-0.484726856,0.008699203,0.046583006
Os07g0159600,-1.019876425,0.008694519,0.046567653
Os12g0115050,-0.72181918,0.008683932,0.046520674
Os03g0690600,-0.476754196,0.008677302,0.046496366
Os05g0393700,0.407907163,0.00867758,0.046496366
Os09g0471100,1.058537484,0.008652826,0.04638313
Os01g0840700,0.561538806,0.008640148,0.04632486
Os02g0739900,0.8584144,0.008635861,0.046311565
Os08g0451700,-0.423935345,0.008612641,0.046196716
Os09g0462301,-0.721461704,0.008587002,0.046068833
Os07g0484300,-0.370468764,0.008557783,0.045921691
Os01g0261100,-0.360683758,0.008553795,0.045909906
Os03g0388800,-1.242941062,0.00854466,0.045870482
Os02g0192001,3.334476551,0.008542419,0.045868063
Os04g0413900,-0.670632665,0.008540912,0.045868063
Os03g0342900,-0.481048409,0.008534559,0.045845075
Os05g0579900,0.420652348,0.008530822,0.045834609
Os05g0548400,2.423598392,0.008527638,0.04582711
Os02g0595300,-0.854006753,0.008525553,0.04582552
Os04g0654500,-1.250696054,0.008515578,0.045781505
Os03g0138100,-0.444679109,0.008491008,0.045658994
Os09g0381300,0.642030707,0.008489608,0.045658994
Os06g0573500,-1.502461854,0.008486291,0.04565279
Os01g0186700,0.358141267,0.00847607,0.04560738
Os02g0100100,1.087790028,0.008473116,0.045601059
Os06g0643700,-0.600014115,0.008457588,0.045527054
Os10g0190500,-0.682422807,0.008447,0.045479615
Os01g0525350,1.159363346,0.008435064,0.045428043
Os07g0242400,0.861997318,0.008435649,0.045428043
Os11g0607200,0.738644473,0.008433914,0.045428043
Os11g0646450,-5.035358147,0.008435437,0.045428043
Os01g0225600,-2.330486415,0.008412763,0.045342916
Os12g0207300,0.466726285,0.008398961,0.045278051
Os10g0178000,-4.489579396,0.008396388,0.045273703
Os09g0553900,-0.745380346,0.008389356,0.045245308
Os02g0669700,0.786299577,0.008385633,0.045234751
Os03g0174800,-0.584059992,0.00837599,0.045192251
Os08g0430500,0.44354526,0.008374913,0.045192251
Os03g0796400,-0.875659371,0.008347331,0.045056596
Os06g0308100,-0.471845495,0.00832708,0.044956757
Os09g0538700,0.742118037,0.008322493,0.044941461
Os02g0167700,0.410763294,0.008320485,0.04494009
Os02g0276500,-0.377027922,0.008319479,0.04494009
Os03g0357400,-0.528654737,0.008308992,0.044896942
Os10g0542900,0.483670025,0.008304643,0.044882909
Os06g0177600,-0.98954017,0.0083022,0.044879173
Os06g0698400,-1.339625373,0.008294326,0.04484607
Os03g0111400,-0.437777445,0.008286181,0.044811487
Os05g0463800,-0.355095717,0.008278301,0.044778322
Os12g0194800,0.534080237,0.008278232,0.044778322
Os01g0166400,1.237372609,0.008271979,0.044763025
Os03g0333601,-0.650793956,0.00826849,0.044763025
Os03g0861700,0.655903516,0.008271554,0.044763025
Os06g0636700,1.374861749,0.00827144,0.044763025
Os06g0723650,-0.804702363,0.008265058,0.044763025
Os06g0317200,-0.758166057,0.008257354,0.044731114
Os03g0728100,-0.588416879,0.008234066,0.044614396
Os02g0655800,0.617008908,0.008229188,0.044597395
Os04g0508200,0.419375244,0.00822331,0.044574968
Os01g0658400,0.591518773,0.008213932,0.044533556
Os08g0556200,0.545626878,0.008206269,0.044501425
Os04g0546500,-0.399180915,0.008203566,0.044498675
Os06g0680500,0.823836321,0.008204025,0.044498675
Os05g0499400,1.30936186,0.008190066,0.044441777
Os08g0439100,0.398313684,0.008188109,0.044441777
Os09g0571100,-2.483439598,0.008190017,0.044441777
Os07g0600700,0.699896001,0.008172179,0.044372908
Os01g0200400,0.688191101,0.008161922,0.044326608
Os08g0260400,2.52927753,0.008156609,0.044307141
Os01g0624500,-0.330449818,0.00815018,0.044281608
Os03g0227400,3.041666879,0.008147236,0.044275003
Os01g0372100,-0.553505979,0.008144944,0.044271935
Os10g0419700,-3.164193159,0.00813968,0.044252712
Os03g0768900,2.132864396,0.008131853,0.044226657
Os02g0281200,0.772059032,0.008130166,0.044226657
Os08g0397800,0.8207145,0.008133162,0.044226657
