geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hd_1,hd_2,hd_3,con_1,con_2,con_3
Os03g0278500,7.168688207,-6.593884607,1.621733592,-4.065948094,4.78E-05,0.00068059,6.382921164,6.382921164,6.382921164,6.559612555,6.838068007,7.280820389
Os11g0424400,6.244661511,-6.393484674,1.545306515,-4.137356966,3.51E-05,0.000520654,6.382921164,6.382921164,6.382921164,6.848669705,7.127598745,6.767367962
Os05g0570000,4.467493541,-5.908724925,1.612162375,-3.665092931,0.000247249,0.002676492,6.382921164,6.382921164,6.382921164,6.910384023,6.804552836,6.83727187
Os03g0644600,8.012605442,-5.766211724,1.448838607,-3.979885471,6.89E-05,0.000919959,6.525405037,6.382921164,6.382921164,6.990872439,6.838068007,7.145193891
Os06g0243100,7.407696455,-5.650924885,1.449350211,-3.898936808,9.66E-05,0.001206429,6.525405037,6.382921164,6.382921164,6.965343406,6.8984056,7.066271116
Os07g0600200,3.683535658,-5.629126152,1.776553271,-3.168565922,0.00153193,0.011738231,6.382921164,6.382921164,6.382921164,6.938576856,6.838068007,6.55525767
Os12g0435000,3.409332212,-5.521030485,1.84121147,-2.998585755,0.002712358,0.018572622,6.382921164,6.382921164,6.382921164,6.688578945,6.555561783,6.999945326
Os08g0411000,3.281194831,-5.462279175,1.947279175,-2.805082725,0.005030367,0.030586874,6.382921164,6.382921164,6.382921164,6.938576856,6.382921164,6.803814466
Os03g0201800,3.260830225,-5.454199211,1.943628849,-2.806193792,0.005013053,0.030510562,6.382921164,6.382921164,6.382921164,6.880522106,6.382921164,6.868359006
Os03g0221600,3.006647785,-5.340071266,1.814390306,-2.943176697,0.003248629,0.02148674,6.382921164,6.382921164,6.382921164,6.63264485,6.869208631,6.767367962
Os09g0340500,2.986283179,-5.330895277,1.98354288,-2.687562407,0.007197565,0.040505867,6.382921164,6.382921164,6.382921164,6.382921164,6.869208631,6.83727187
Os11g0588100,2.983472122,-5.329601091,2.004565843,-2.658730872,0.007843559,0.043232565,6.382921164,6.382921164,6.382921164,6.382921164,6.727588199,6.951156431
Os03g0405400,2.828301654,-5.250276926,1.848770668,-2.839874635,0.004513127,0.028044972,6.382921164,6.382921164,6.382921164,6.735645681,6.869208631,6.62649732
Os02g0677300,2.67558308,-5.166764443,1.932359696,-2.673810913,0.007499472,0.041710219,6.382921164,6.382921164,6.382921164,6.910384023,6.555561783,6.681063439
Os12g0603300,2.609929075,-5.135546037,1.919458773,-2.675517759,0.007461392,0.041562017,6.382921164,6.382921164,6.382921164,6.63264485,6.8984056,6.62649732
Os11g0646450,2.438954188,-5.035358147,1.911586478,-2.634125218,0.008435437,0.045428043,6.382921164,6.382921164,6.382921164,6.777035476,6.768043181,6.62649732
Os11g0439300,4.258877775,-4.830075765,1.723360015,-2.802708502,0.005067545,0.030725438,6.382921164,6.522997152,6.382921164,7.061401963,6.555561783,6.7269832
Os06g0200500,4.128524704,-4.787823301,1.694240973,-2.825939979,0.00471421,0.029036585,6.382921164,6.382921164,6.526095549,6.559612555,6.925972853,6.897506
Os05g0281400,3.754370318,-4.646667808,1.65494701,-2.807744164,0.004988984,0.030385725,6.382921164,6.522997152,6.382921164,6.735645681,6.869208631,6.803814466
Os01g0806101,3.613239576,-4.585486613,1.699270485,-2.698503066,0.00696521,0.039545661,6.382921164,6.522997152,6.382921164,6.938576856,6.68158831,6.7269832
