geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hd1,hd2,hd3,c1,c2,c3
Os01g0100100,733.7430966,0.060261318,0.157342021,0.382995702,0.701722951,0.852467626,9.930857819,9.765996285,9.777959981,9.913402808,9.675344036,9.731711427
Os01g0100200,3.708286754,-1.27134281,1.371160841,-0.927201808,0.353821764,0.595231769,6.731229274,6.382921164,6.585317405,6.688578945,6.869208631,6.62649732
Os01g0100400,287.579655,0.33153561,0.214614658,1.544794811,0.122395903,0.308706587,8.793380034,8.718446857,9.109675716,8.726912413,8.514200957,8.726191188
Os01g0100500,448.1977559,-0.190356979,0.189896751,-1.002423569,0.316139064,0.556619977,9.246961414,9.255963439,8.968570879,9.268786574,9.154480632,9.47966226
Os01g0100600,149.6949937,-0.1154169,0.231228937,-0.49914557,0.617676836,0.799047487,8.164029177,8.08749051,8.228754901,8.197658357,8.33264051,8.137906529
Os01g0100700,683.5997646,0.283973044,0.201151497,1.411737165,0.158027366,0.362695736,9.487244764,9.935804844,10.01139143,9.445255066,9.803737395,9.515832083
Os01g0100800,277.0389602,-0.062499576,0.206154911,-0.303168021,0.761761819,0.888343995,8.636196088,8.851916519,8.657664755,8.928555471,8.600908014,8.734616044
Os01g0100900,1539.579713,-0.187949012,0.136416215,-1.377761523,0.168276929,0.376794582,10.66402061,10.69100896,10.57963853,10.7467441,10.92902409,10.76509805
Os01g0101150,6.027676282,0.170807883,1.173331936,0.145575074,0.884256846,0.951907956,6.731229274,6.939978273,6.585317405,6.777035476,6.8984056,6.382921164
Os01g0101200,66.28055859,0.692699967,0.38100338,1.81809402,0.069049764,0.210802109,7.604953859,7.628221472,7.998044727,7.561929721,7.250607524,7.5908069
Os01g0101300,8.776015586,0.217659975,0.788277929,0.276120854,0.782455244,0.899132241,6.808996385,6.866088037,6.915815903,6.880522106,6.804552836,6.803814466
Os01g0101600,1050.764746,0.014300487,0.139505291,0.102508561,0.918353018,0.966923264,10.27508601,10.28708765,10.18344541,10.2440474,10.15725184,10.30542621
Os01g0101700,168.2594091,-0.289982642,0.262118162,-1.106305031,0.268594515,0.503489447,8.181805804,8.082871559,8.331583955,8.429352706,8.563079249,8.069030622
Os01g0102000,77.35034978,0.067905872,0.303905863,0.223443771,0.823190141,0.921839123,7.641269603,7.753024793,7.812263597,7.652731966,7.625278371,7.834108587
Os01g0102300,164.8495534,-1.393460254,0.273029751,-5.103693816,3.33E-07,9.49E-06,7.959481598,7.73428346,7.77488233,8.905421087,8.394245339,8.434133993
Os01g0102400,969.2965148,-0.451082248,0.178278526,-2.530210783,0.011399402,0.056992562,10.09128645,10.0031135,9.677636521,10.18595373,10.23991748,10.52051037
Os01g0102500,426.3208872,-0.369137167,0.165277892,-2.233433423,0.025520376,0.103910529,8.973116251,9.014581092,9.122803317,9.259799597,9.315060078,9.365194185
Os01g0102600,94.90091025,0.492782709,0.325043951,1.516049467,0.129506845,0.319973791,7.916111517,7.695771861,8.224459546,7.715868285,7.646345607,7.834108587
Os01g0102700,1218.275843,0.270906318,0.182510213,1.484335116,0.137720039,0.332273781,10.36106437,10.60732909,10.65168933,9.967160987,10.51562412,10.37860834
Os01g0102800,593.8290033,-0.127938584,0.164371845,-0.778348532,0.436363572,0.671105056,9.537787037,9.589521982,9.367678035,9.50954835,9.723578436,9.569545931
Os01g0102850,50.29680268,-0.369553095,0.366690521,-1.007806514,0.313547358,0.554108832,7.495481483,7.400909991,7.316640543,7.585421233,7.625278371,7.396575874
Os01g0102900,739.6121392,0.603100479,0.253958493,2.374799404,0.01755849,0.07831178,9.887755827,9.481012438,10.54420328,9.369562155,9.557490462,9.677577191
Os01g0103000,72.98410208,1.184682828,0.386242789,3.067197271,0.002160762,0.01553893,7.730061917,7.981456848,7.977073745,7.104353611,7.646345607,7.409999231
Os01g0103400,6.263199041,0.094623553,0.968550227,0.097696073,0.922173634,0.968514778,6.731229274,6.778035539,6.834024229,6.735645681,6.8984056,6.62649732
Os01g0103600,283.4624884,0.379879259,0.228867396,1.659822521,0.096950162,0.264722293,8.790631018,8.923679112,8.936521924,8.281827753,8.775346486,8.767794501
Os01g0103700,80.39618829,0.322898924,0.319181056,1.011648149,0.311706316,0.552302809,7.980567488,7.795519424,7.647010916,7.585421233,7.614577152,7.807688406
Os01g0103800,337.0528848,0.227228733,0.188969036,1.202465433,0.229183251,0.457705569,9.015736075,9.003259508,9.023493242,8.644494484,8.940573715,8.951342289
Os01g0103900,9.531996483,-0.275705747,0.808487346,-0.341014301,0.733092816,0.871764846,6.966646194,6.778035539,6.760799345,6.735645681,6.925972853,6.976080643
Os01g0104000,681.7954284,-0.150156371,0.168654912,-0.890317212,0.373295581,0.613688739,9.698069205,9.504979751,9.742041796,9.947008437,9.715307153,9.645376006
Os01g0104100,1224.563586,-0.212661192,0.14434259,-1.473308689,0.140667819,0.336916388,10.41564111,10.26407348,10.33605602,10.42267376,10.65957186,10.49203428
Os01g0104200,53.69022078,-0.935070059,0.431345226,-2.167799716,0.030173928,0.117481624,7.495481483,7.32669247,7.105687561,7.92837573,7.581765794,7.423221512
Os01g0104350,148.1028375,-0.641986635,0.258239211,-2.486015327,0.01291824,0.062414907,7.888140265,7.961100265,8.125940365,8.494535054,8.405132509,8.117655349
Os01g0104400,1332.817023,-0.226337082,0.150194515,-1.506959703,0.131820986,0.323811066,10.41304766,10.33909589,10.56242401,10.80057374,10.57698951,10.53918492
Os01g0104500,6331.384191,-0.503741083,0.176251457,-2.858081802,0.004262105,0.026714265,12.43463072,12.48330918,12.27217857,12.44609307,13.07394563,13.06534225
